dbGap Variable	dbGap Table	dbGap Description	UChicago Variable	UChicago Table	Type	Enumerations
rcvwmax1	pht001116.v10	Right common carotid vessel width max (mm)	rcvwmax1	carotid_ultrasound_test	number	
rcvwmin1	pht001116.v10	Right common carotid vessel width min (mm)	rcvwmin1	carotid_ultrasound_test	number	
rcfwsd1	pht001116.v10	Right common carotid far wall std dev (mm)	rcfwsd1	carotid_ultrasound_test	number	
ccafwm1	pht001116.v10	Mean of mean far wall imt for common carotid artery	ccafwm1	carotid_ultrasound_test	number	
icafwm1	pht001116.v10	Mean of mean far wall imt for internal carotid artery	icafwm1	carotid_ultrasound_test	number	
trig1	pht001116.v10, pht001111.v4	Triglycerides (mg/dl)	trig1	lab_result	number	
glucos1c	pht001116.v10, pht001111.v4	Exam 1 fasting glucose- calibrated	glucos1c	lab_result	number	
glucos1u	pht001116.v10, pht001111.v4	Exam 1 fasting glucose- original	glucos1u	lab_result	number	
ldl1	pht001116.v10, pht001111.v4	Ldl cholesterol (mg/dl)	ldl1	lab_result	number	
hdl1	pht001116.v10, pht001111.v4	Hdl cholesterol (mg/dl)	hdl1	lab_result	number	
creatin1	pht001116.v10, pht001111.v4	Creatinine (mg/dl)	creatin1	lab_result	number	
chol1	pht001116.v10, pht001111.v4	Total cholesterol (mg/dl)	chol1	lab_result	number	
chlcat1c	pht001116.v10, pht001111.v4	Total cholesterol, ncep categories	chlcat1c	lab_result	enum	DESIRABLE, <200|BORDERLINE HIGH, 200-239|HIGH, 240+
ldlcat1c	pht001116.v10, pht001111.v4	Ldl cholesterol, ncep categories	ldlcat1c	lab_result	enum	OPTIMAL, <100|NEAR OPTIMAL, 100-129|BORDERLINE HIGH, 130-159|HIGH, 160-189|VERY HIGH, 190+
hdlcat1c	pht001116.v10, pht001111.v4	Hdl cholesterol, ncep categories	hdlcat1c	lab_result	enum	HIGH, 60+|40-59|LOW, <40
trgcat1c	pht001116.v10, pht001111.v4	Triglycerides, ncep categories	trgcat1c	lab_result	enum	NORMAL, <150|BORDERLINE HIGH, 150-199|HIGH, 200-499|VERY HIGH, 500+
diabins1	pht001116.v10, pht001111.v4	Insulin or oral hypoglycemics for diabetes?	diabins1	medication	boolean	
lastdrk1	pht001116.v10, pht001111.v4	How long ago last drink or eat? (hrs)	lastdrk1	lab_result	number	
hcytot1	pht001116.v10, pht001111.v4	Total homocysteine (thcy) (umol/l)	hcytot1	lab_result	number	
cpn1c	pht001116.v10, pht001111.v4	Chlamydia pneumoniae results as pos, neg & nsf	cpn1c	lab_result	string	
cpntite1	pht001116.v10, pht001111.v4	Chlamydia pneumoniae (igg antibodies)	cpntite1	lab_result	enum	NEGATIVE, NO FLUORESCENCE (NEG)|1+, DEFINITE, BUT DIM FLUORESCENCE (POS)|2+, MODERATE TO INTENSE FLUORESCENCE (POS)|3+, MODERATE TO INTENSE FLUORESCENCE (POS)|4+, MODERATE TO INTENSE FLUORESCENCE (POS)
CPNTIT1M	pht001116.v10, pht001111.v4	Exceptional missing cpn titer	CPNTIT1M	lab_result	enum	NONSPECIFIC FLUORESCENCE, ASSAY NOT INTERPRETABLE
homair1c	pht001116.v10, pht001111.v4	Homeostasis model assessment for insulin resistance	homair1c	lab_result	number	
INSUL1M	pht001116.v10, pht001111.v4	Exceptional missing insulin	INSUL1M	lab_result	enum	VALUE BELOW MEASUREMENT LIMITS
il61	pht001116.v10, pht001111.v4	Interleukin-6 (il-6) (pg/ml)	il61	lab_result	number	
il61M	pht001116.v10, pht001111.v4	Exceptional missing il61	il61M	lab_result	enum	INVALID (UNREPORTABLE) RESULT|VALUE > 13|VALUE < 0.09 (BELOW MEASUREMENT LIMITS)
il61t	pht001116.v10, pht001111.v4	Natural log transformed interleukin-6 (il-6)	il61t	lab_result	number	
pap1	pht001116.v10, pht001111.v4	Plasmin-antiplasmin complex (pap) (nm)	pap1	lab_result	number	
pap1M	pht001116.v10, pht001111.v4	Exceptional missing pap1	pap1M	lab_result	enum	INVALID (UNREPORTABLE) RESULT|VALUE IS ABOVE MEASUREMENT LIMITS|VALUE < 0.20 (BELOW MEASUREMENT LIMITS)
fib1	pht001116.v10, pht001111.v4	Fibrinogen antigen (mg/dl)	fib1	lab_result	number	
crp1	pht001116.v10, pht001111.v4	C-reactive protein (crp) (mg/l)	crp1	lab_result	number	
crp1t	pht001116.v10, pht001111.v4	Natural log transformed c-reactive protein (crp)	crp1t	lab_result	number	
ddimer1	pht001116.v10, pht001111.v4	D-dimer (ug/ml)	ddimer1	lab_result	number	
DDIMER1M	pht001116.v10, pht001111.v4	Exceptional missing ddimer	DDIMER1M	lab_result	enum	INVALID (UNREPORTABLE) RESULT|EXTREME LOW (EXTRAPOLATED)|LOW (EXTRAPOLATED)|LOW (EXTRAPOLATED)|LOW (EXTRAPOLATED)|LOW (EXTRAPOLATED)|HIGH (> 20, EXTRAPOLATED)
f81	pht001116.v10, pht001111.v4	Factor viii (%)	f81	lab_result	number	
factr81M	pht001116.v10, pht001111.v4	Extrapolated factor viii	factr81M	lab_result	enum	LOW (EXTRAPOLATED)|HIGH (EXTRAPOLATED)
cd40l1	pht001116.v10, pht001111.v4	Cd40 ligand (pg/ml)	cd40l1	lab_result	number	
eselect1	pht001116.v10, pht001111.v4	E-selectin (ng/ml)	eselect1	lab_result	number	
mmp31	pht001116.v10, pht001111.v4	Matrix metalloproteinase 3 (ng/ml)	mmp31	lab_result	number	
mmp31t	pht001116.v10, pht001111.v4	Natural log transformed matrix metalloproteinase 3	mmp31t	lab_result	number	
mmp91	pht001116.v10, pht001111.v4	Matrix metalloproteinase 9 (ng/ml)	mmp91	lab_result	number	
mmp91t	pht001116.v10, pht001111.v4	Natural log transformed matrix metalloproteinase 9	mmp91t	lab_result	number	
hsv1	pht001116.v10, pht001111.v4	Herpes simplex virus (eu/ml)	hsv1	lab_result	number	
hsv1c	pht001116.v10, pht001111.v4	Herpes simplex virus (pos/neg)	hsv1c	lab_result	string	
cmv1	pht001116.v10, pht001111.v4	Cytomegalovirus (eu/ml)	cmv1	lab_result	number	
cmv1c	pht001116.v10, pht001111.v4	Cytomegalovirus (pos/neg)	cmv1c	lab_result	string	
hpylori1	pht001116.v10, pht001111.v4	Helicobacter pylori antibodies	hpylori1	lab_result	number	
hpylor1c	pht001116.v10, pht001111.v4	Helicobacter pylori antibodies (pos/neg)	hpylor1c	lab_result	string	
havab1	pht001116.v10, pht001111.v4	Hepatitis a virus antibodies	havab1	lab_result	number	
havab1c	pht001116.v10, pht001111.v4	Hepatitis a virus antibodies (pos/neg)	havab1c	lab_result	string	
pai1	pht001116.v10, pht001111.v4	Pai-1 (ng/ml)	pai1	lab_result	number	
PAI1M	pht001116.v10, pht001111.v4	Exceptional missing pai1	PAI1M	lab_result	enum	VALUE < 1.8 (BELOW DETECTION LIMITS)
stf1	pht001116.v10, pht001111.v4	Soluble tf (pg/ml)	stf1	lab_result	number	
STF1M	pht001116.v10, pht001111.v4	Exceptional missing stf1	STF1M	lab_result	enum	VALUE < 2.0 pg/ml (BELOW DETECTION LIMITS)
tfpi1	pht001116.v10, pht001111.v4	Tfpi (ng/ml)	tfpi1	lab_result	number	
TFPI1M	pht001116.v10, pht001111.v4	Exceptional missing tfpi1	TFPI1M	lab_result	enum	VALUE > 100 ng/ml (ABOVE DETECTION LIMITS)
stm1	pht001116.v10, pht001111.v4	Soluble thrombomodulin (ng/ml)	stm1	lab_result	number	
STM1M	pht001116.v10, pht001111.v4	Exceptional missing stm	STM1M	lab_result	enum	VALUE < 0.8 ng/ml (BELOW DETECTION LIMITS)
abcact1	pht001116.v10, pht001111.v4	Abca1 -477 c/t genotype	abcact1	lab_result	enum	C/C|C/T|T/T
abcaga1	pht001116.v10, pht001111.v4	Abca1 1051 g/a (r219k) genotype	abcaga1	lab_result	enum	G/G|G/A|A/A
rlpc1	pht001116.v10, pht001111.v4	Remnant-like particle cholesterol (mg/dl)	rlpc1	lab_result	number	
hdl11	pht001116.v10, pht001111.v4	Hdl-1 (%)	hdl11	lab_result	number	
hdl21	pht001116.v10, pht001111.v4	Hdl-2 (%)	hdl21	lab_result	number	
hdl31	pht001116.v10, pht001111.v4	Hdl-3 (%)	hdl31	lab_result	number	
hdl41	pht001116.v10, pht001111.v4	Hdl-4 (%)	hdl41	lab_result	number	
hdl51	pht001116.v10, pht001111.v4	Hdl-5 (%)	hdl51	lab_result	number	
hdl61	pht001116.v10, pht001111.v4	Hdl-6 (%)	hdl61	lab_result	number	
hdl71	pht001116.v10, pht001111.v4	Hdl-7 (%)	hdl71	lab_result	number	
hdl81	pht001116.v10, pht001111.v4	Hdl-8 (%)	hdl81	lab_result	number	
hdl1md1	pht001116.v10, pht001111.v4	Hdl-1 (mg/dl)	hdl1md1	lab_result	number	
hdl2md1	pht001116.v10, pht001111.v4	Hdl-2 (mg/dl)	hdl2md1	lab_result	number	
hdl3md1	pht001116.v10, pht001111.v4	Hdl-3 (mg/dl)	hdl3md1	lab_result	number	
hdl4md1	pht001116.v10, pht001111.v4	Hdl-4 (mg/dl)	hdl4md1	lab_result	number	
hdl5md1	pht001116.v10, pht001111.v4	Hdl-5 (mg/dl)	hdl5md1	lab_result	number	
hdl6md1	pht001116.v10, pht001111.v4	Hdl-6 (mg/dl)	hdl6md1	lab_result	number	
hdl7md1	pht001116.v10, pht001111.v4	Hdl-7 (mg/dl)	hdl7md1	lab_result	number	
hdl8md1	pht001116.v10, pht001111.v4	Hdl-8 (mg/dl)	hdl8md1	lab_result	number	
antHsp61	pht001116.v10, pht001111.v4	Anti-human heat shock protein-60 (ng/ml)	antHsp61	lab_result	number	
anthsp61t	pht001116.v10, pht001111.v4	Natural log transformed anti-human heat shock protein-60	anthsp61t	lab_result	number	
ceact1	pht001116.v10, pht001111.v4	Cholesterol ester transfer protein activity (nmol/ml/hr)	ceact1	lab_result	number	
cemass1	pht001116.v10, pht001111.v4	Cholesterol ester transfer protein mass (mg/ml)	cemass1	lab_result	number	
cea373p1	pht001116.v10, pht001111.v4	Cholesterol ester transfer protein - a373p genotype	cea373p1	lab_result	enum	AA|AP|PP
ce629ca1	pht001116.v10, pht001111.v4	Cholesterol ester transfer protein - -629ca genotype	ce629ca1	lab_result	enum	CC|CA|AA
CEP6291M	pht001116.v10, pht001111.v4	Exceptional missing cept_629	CEP6291M	lab_result	enum	OTHER MISSING (-77)
cetaq1b1	pht001116.v10, pht001111.v4	Cholesterol ester transfer protein - taq1b genotype	cetaq1b1	lab_result	enum	B1B1|B1B2|B2B2
CETP25051	pht001116.v10, pht001111.v4	Cholesterol ester transfer protein - 2505	CETP25051	lab_result	enum	AA|CA|CC|NO AMP|NO SAMPLE
ISOPROST	pht001116.v10, pht001111.v4	Exam 1 isoprostane (pg/ml)	ISOPROST	lab_result	number	
ISOPRO1M	pht001116.v10, pht001111.v4	Exceptional missing isoprost	ISOPRO1M	lab_result	enum	POOR PEAK DETECTION (OR OUT OF ASSAY RANGE)
vwf1	pht001116.v10, pht001111.v4	Percent von willebrand factor (vwf)	vwf1	lab_result	number	
VWF1M	pht001116.v10, pht001111.v4	Exceptional missing vwf	VWF1M	lab_result	enum	INVALID (UNREPORTABLE) RESULT|LOW (EXTRAPOLATED)
cpn31	pht001116.v10, pht001111.v4	Chlamydia (from group 3 lipids)	cpn31	lab_result	number	
cpn31c	pht001116.v10, pht001111.v4	Chlamydia pos/neg (from group3 lipids)	cpn31c	lab_result	string	
cer452q1	pht001116.v10, pht001111.v4	Cholesterol ester transfer protein - r451q genotype	cer452q1	lab_result	enum	RR|RQ|QQ
i14_0_e1	pht001116.v10, pht001111.v4	14:0 myristic acid	i14_0_e1	lab_result	number	
i15_0_e1	pht001116.v10, pht001111.v4	15:0 pentadecanoic acid	i15_0_e1	lab_result	number	
i16_0_e1	pht001116.v10, pht001111.v4	16:0 hexadecanoic acid	i16_0_e1	lab_result	number	
i16_1_9t_e1	pht001116.v10, pht001111.v4	16:1 9 trans palmitoleic acid	i16_1_9t_e1	lab_result	number	
i16_1_9c_e1	pht001116.v10, pht001111.v4	16:1 9 cis palmitoleic acid	i16_1_9c_e1	lab_result	number	
i18_0_e1	pht001116.v10, pht001111.v4	18:0 stearic acid	i18_0_e1	lab_result	number	
i18_1_9_11t_e1	pht001116.v10, pht001111.v4	18:1 9-11 trans oleic acid	i18_1_9_11t_e1	lab_result	number	
i18_1_12_t_e1	pht001116.v10, pht001111.v4	18:1 12 trans oleic acid	i18_1_12_t_e1	lab_result	number	
i18_1_9_c_e1	pht001116.v10, pht001111.v4	18:1:9 cis linoleic acid	i18_1_9_c_e1	lab_result	number	
i18_1_11_c_e1	pht001116.v10, pht001111.v4	18:1:11 cis linoleic acid	i18_1_11_c_e1	lab_result	number	
i18_1_12_c_e1	pht001116.v10, pht001111.v4	18:1:12 cis linoleic acid	i18_1_12_c_e1	lab_result	number	
i18_2_t_t_e1	pht001116.v10, pht001111.v4	18:2 t/t linoleic acid	i18_2_t_t_e1	lab_result	number	
i18_2_c_t_e1	pht001116.v10, pht001111.v4	18:2 c/t linoleic acid	i18_2_c_t_e1	lab_result	number	
i18_2_t_c_e1	pht001116.v10, pht001111.v4	18:2 t/c linoleic acid	i18_2_t_c_e1	lab_result	number	
i18_2_c_c_e1	pht001116.v10, pht001111.v4	18:2 c/c linoleic acid	i18_2_c_c_e1	lab_result	number	
i18_3_n6_e1	pht001116.v10, pht001111.v4	18:3 n6 gamma-linolenic acid	i18_3_n6_e1	lab_result	number	
i18_3_n3_e1	pht001116.v10, pht001111.v4	18:3 n3 alpha-linolenic acid	i18_3_n3_e1	lab_result	number	
i20_0_e1	pht001116.v10, pht001111.v4	20:0 arachidic acid	i20_0_e1	lab_result	number	
i20_1_n9_e1	pht001116.v10, pht001111.v4	20:1n9 gadoleic acid	i20_1_n9_e1	lab_result	number	
i20_2_n6_e1	pht001116.v10, pht001111.v4	20:2n6 eicosanoic acid	i20_2_n6_e1	lab_result	number	
i20_3_n6_e1	pht001116.v10, pht001111.v4	20:3n6 eicosanoic acid	i20_3_n6_e1	lab_result	number	
i20_4_n6_e1	pht001116.v10, pht001111.v4	20:4n6 arachidonic acid (aa)	i20_4_n6_e1	lab_result	number	
i22_0_e1	pht001116.v10, pht001111.v4	22:0 behenic acid	i22_0_e1	lab_result	number	
i20_5_n3_e1	pht001116.v10, pht001111.v4	20:5n3 timnodonic acid	i20_5_n3_e1	lab_result	number	
i24_1_n9_e1	pht001116.v10, pht001111.v4	24:1n9 nervonic acid	i24_1_n9_e1	lab_result	number	
i22_5_n3_e1	pht001116.v10, pht001111.v4	22:5n3 clupanodonic acid	i22_5_n3_e1	lab_result	number	
i22_6_n3_e1	pht001116.v10, pht001111.v4	22:6n3 docosahexaenoic acid (dha)	i22_6_n3_e1	lab_result	number	
total_trans_e1c	pht001116.v10, pht001111.v4	Sum of 16:1 9 trans, 18:1 9-11 trans, 18:1 12 trans, 18:2 t/t, 18:2	total_trans_e1c	lab_result	number	
i16_1_trans_e1c	pht001116.v10, pht001111.v4	16:1 9 trans	i16_1_trans_e1c	lab_result	number	
i18_1_trans_e1c	pht001116.v10, pht001111.v4	Sum of 18:1 9-11 trans, 18:1 12 trans	i18_1_trans_e1c	lab_result	number	
i18_2_trans_e1c	pht001116.v10, pht001111.v4	Sum of 18:2 t/t, 18:2 c/t, 18:2 t/c	i18_2_trans_e1c	lab_result	number	
total_cis_e1c	pht001116.v10, pht001111.v4	Sum of 16:1 9 cis, 18:1 9 cis, 18:1 11 cis, 18:1 12 cis, 18:2 c/c	total_cis_e1c	lab_result	number	
i16_1_cis_e1c	pht001116.v10, pht001111.v4	16:1 9 cis	i16_1_cis_e1c	lab_result	number	
i18_1_cis_e1c	pht001116.v10, pht001111.v4	18:1 9 cis, 18:1 11 cis, 18:1 12 cis	i18_1_cis_e1c	lab_result	number	
i18_2_cis_e1c	pht001116.v10, pht001111.v4	18:2 c/c	i18_2_cis_e1c	lab_result	number	
epa_dha_e1c	pht001116.v10, pht001111.v4	Sum of 20:5n3 and 22:6n3	epa_dha_e1c	lab_result	number	
icam1	pht001116.v10, pht001111.v4	Sicam (ng/ml)	icam1	lab_result	number	
icam11M	pht001116.v10, pht001111.v4	Exceptional missing icam11	icam11M	lab_result	enum	INVALID (UNREPORTABLE) RESULT|VALUE IS > 900 ng/ml (ABOVE MEASUREMENT LIMITS)|VALUE < 0.35 ng/ml (BELOW MEASUREMENT LIMITS)
emphys1	pht001116.v10, pht001111.v4	Emphysema: self-report	emphys1	medical_history	boolean	
asthma1	pht001116.v10, pht001111.v4	Asthma: self-report	asthma1	medical_history	boolean	
arthrit1	pht001116.v10, pht001111.v4	Arthritis: self-report	arthrit1	medical_history	boolean	
cancer1	pht001116.v10, pht001111.v4	Cancer: self-report	cancer1	medical_history	boolean	
prostcn1	pht001116.v10, pht001111.v4	Prostate cancer	prostcn1	medical_history	boolean	
brstcn1	pht001116.v10, pht001111.v4	Breast cancer	brstcn1	medical_history	boolean	
lungcn1	pht001116.v10, pht001111.v4	Lung cancer	lungcn1	medical_history	boolean	
coloncn1	pht001116.v10, pht001111.v4	Colon cancer	coloncn1	medical_history	boolean	
nmskncn1	pht001116.v10, pht001111.v4	Non-melanoma skin cancer	nmskncn1	medical_history	boolean	
bloodcn1	pht001116.v10, pht001111.v4	Blood cancer	bloodcn1	medical_history	boolean	
othcn1	pht001116.v10, pht001111.v4	Other cancer	othcn1	medical_history	boolean	
rheuhv1	pht001116.v10, pht001111.v4	Rheumatic heart disease: self-report	rheuhv1	medical_history	boolean	
bldclot1	pht001116.v10, pht001111.v4	Blood clots in legs/lungs: self-report	bldclot1	medical_history	boolean	
liverd1	pht001116.v10, pht001111.v4	Liver disease: self-report	liverd1	medical_history	boolean	
cirrh1	pht001116.v10, pht001111.v4	Cirrhosis: self-report	cirrh1	medical_history	boolean	
hepat1	pht001116.v10, pht001111.v4	Hepatitis: self-report	hepat1	medical_history	boolean	
heptpa1	pht001116.v10, pht001111.v4	Hepatitis, type a	heptpa1	medical_history	boolean	
heptpb1	pht001116.v10, pht001111.v4	Hepatitis, type b	heptpb1	medical_history	boolean	
heptpc1	pht001116.v10, pht001111.v4	Hepatitis, type c	heptpc1	medical_history	boolean	
heptpd1	pht001116.v10, pht001111.v4	Hepatitis, type d	heptpd1	medical_history	boolean	
heptpe1	pht001116.v10, pht001111.v4	Hepatitis, type e	heptpe1	medical_history	boolean	
heptpu1	pht001116.v10, pht001111.v4	Hepatitis, unknown type	heptpu1	medical_history	enum	NO HEPATITIS OR TYPE KNOWN|TYPE UNKNOWN
kdnydis1	pht001116.v10, pht001111.v4	Kidney disease: self-report	kdnydis1	medical_history	boolean	
highbp1	pht001116.v10, pht001111.v4	Hypertension: self-report	highbp1	medical_history	boolean	
diabhx1	pht001116.v10, pht001111.v4	Taking meds for diabetes	diabhx1	medication	boolean	
cholmed1	pht001116.v10, pht001111.v4	Taking meds for high cholesterol	cholmed1	medication	boolean	
bpmed1	pht001116.v10, pht001111.v4	Taking meds for hypertension	bpmed1	medication	boolean	
bphxage1	pht001116.v10, pht001111.v4	Hypertension meds, age started use	bphxage1	medical_history	number	
bpmageu1	pht001116.v10, pht001111.v4	Hypertension meds, age started unknown	bpmageu1	medical_history	enum	AGE UNKNOWN
hghchol1	pht001116.v10, pht001111.v4	High cholesterol: self-report	hghchol1	medical_history	boolean	
cholage1	pht001116.v10, pht001111.v4	Cholesterol meds, age started use	cholage1	medication	number	
chlageu1	pht001116.v10, pht001111.v4	Cholesterol meds, age started unknown	chlageu1	medication	enum	AGE UNKNOWN
diabet1	pht001116.v10, pht001111.v4	Diabetes: self-report	diabet1	medication	boolean	
dbhxtyp1	pht001116.v10, pht001111.v4	Diabetes meds, type	dbhxtyp1	medication	enum	INSULIN|PILLS
dbage1	pht001116.v10, pht001111.v4	Diabetes meds, age started use	dbage1	medication	number	
dbageu1	pht001116.v10, pht001111.v4	Diabetes meds, age started unknown	dbageu1	medication	enum	AGE UNKNOWN
dbinsul1	pht001116.v10, pht001111.v4	Was insulin first diabetes medicine	dbinsul1	medication	boolean	
dbpreg1	pht001116.v10, pht001111.v4	Women: diabetes occur only during pregnancy	dbpreg1	medical_history	boolean	
hwt3ylb1	pht001116.v10, pht001111.v4	Highest weight in last 3 years (lbs)	hwt3ylb1	medical_history	number	
wt20lb1	pht001116.v10, pht001111.v4	Weight at age 20 (lbs)	wt20lb1	medical_history	number	
wt40lb1	pht001116.v10, pht001111.v4	Weight at age 40 (lbs)	wt40lb1	medical_history	number	
preg1	pht001116.v10, pht001111.v4	Ever been pregnant	preg1	medical_history	boolean	
pregn1	pht001116.v10, pht001111.v4	# of pregnancies	pregn1	medical_history	number	
birthn1	pht001116.v10, pht001111.v4	# of live births	birthn1	medical_history	number	
agebrth1	pht001116.v10, pht001111.v4	Age at first live birth	agebrth1	medical_history	number	
hystrct1	pht001116.v10, pht001111.v4	Hysterectomy	hystrct1	medical_history	boolean	
hystage1	pht001116.v10, pht001111.v4	Age at hysterectomy	hystage1	medical_history	number	
ovarem1	pht001116.v10, pht001111.v4	Surgery to remove ovaries	ovarem1	medical_history	boolean	
ovaage1	pht001116.v10, pht001111.v4	Age when ovaries removed	ovaage1	medical_history	number	
ovaremn1	pht001116.v10, pht001111.v4	# of ovaries removed	ovaremn1	medical_history	enum	1 OVARY REMOVED|2 OVARIES REMOVED
bcpills1	pht001116.v10, pht001111.v4	Ever taken birth control pills	bcpills1	medication	boolean	
bpillyr1	pht001116.v10, pht001111.v4	# of years took birth control pills	bpillyr1	medication	number	
mnpause1	pht001116.v10, pht001111.v4	Gone through menopause	mnpause1	medical_history	boolean	
menop1	pht001116.v10, pht001111.v4	Currently going through menopause	menop1	medical_history	boolean	
mnspmo1	pht001116.v10, pht001111.v4	Month of last menstrual period	mnspmo1	medical_history	number	
mnspyr1	pht001116.v10, pht001111.v4	Year of last menstrual period	mnspyr1	medical_history	number	
prdsnum1	pht001116.v10, pht001111.v4	# of menstrual periods in past 12 months	prdsnum1	medical_history	number	
menoage1	pht001116.v10, pht001111.v4	Age went through menopause	menoage1	medical_history	number	
hrmrep1	pht001116.v10, pht001111.v4	Ever taken hormone replacement therapy	hrmrep1	medication	boolean	
hrmrepc1	pht001116.v10, pht001111.v4	Hormone replacement therapy, current user	hrmrepc1	medication	boolean	
hrmrage1	pht001116.v10, pht001111.v4	Hormone replacement therapy, age started use (current user)	hrmrage1	medication	number	
hrmsage1	pht001116.v10, pht001111.v4	Hormone replacement therapy, age started use (former user)	hrmsage1	medication	number	
hrmage1c	pht001116.v10, pht001111.v4	Age started hrt use, current and former users	hrmage1c	medication	number	
hrmqage1	pht001116.v10, pht001111.v4	Hormone replacement therapy, age stopped use	hrmqage1	medical_history	number	
hrmtyp1	pht001116.v10, pht001111.v4	Type of hormone replacement therapy	hrmtyp1	medical_history	enum	ESTROGEN ALONE|ESTROGEN WITH PROGESTIN
legpain1	pht001116.v10, pht001111.v4	Pain in leg or buttock while walking	legpain1	medical_history	boolean	
lprest1	pht001116.v10, pht001111.v4	Leg pain begin when standing or sitting	lprest1	medical_history	boolean	
lpcalf1	pht001116.v10, pht001111.v4	Pain occurs in what portion of leg	lpcalf1	medical_history	enum	PAIN INCLUDES CALF|PAIN DOES NOT INCLUDE CALF
lpuphl1	pht001116.v10, pht001111.v4	Leg pain if walk uphill or hurry	lpuphl1	medical_history	boolean	
lpnorm1	pht001116.v10, pht001111.v4	Leg pain if walk at ordinary pace on the level	lpnorm1	medical_history	boolean	
lpdis1	pht001116.v10, pht001111.v4	Leg pain ever disappear while walking	lpdis1	medical_history	boolean	
lpstop1	pht001116.v10, pht001111.v4	Stop walking during leg pain	lpstop1	medical_history	enum	STOP OR SLOW DOWN|CONTINUE ON
lpstnd1	pht001116.v10, pht001111.v4	What happens to leg pain if stand still	lpstnd1	medical_history	enum	RELIEVED|NOT RELIEVED
lprelv1	pht001116.v10, pht001111.v4	How soon is leg pain relieved when still	lprelv1	medical_history	enum	MORE THAN 10 MINUTES|10 MINUTES OR LESS
lploc1	pht001116.v10, pht001111.v4	On what side is leg pain predominant	lploc1	medical_history	enum	RIGHT SIDE|LEFT SIDE|BOTH LEGS
swllft1	pht001116.v10, pht001111.v4	Swelling of feet or ankles	swllft1	medical_history	boolean	
swllday1	pht001116.v10, pht001111.v4	Feet swelling during day, diminished overnight	swllday1	medical_history	boolean	
slppllw1	pht001116.v10, pht001111.v4	Sleep on two or more pillows to help breathe	slppllw1	medical_history	boolean	
wakebr1	pht001116.v10, pht001111.v4	Awakened at night by trouble breathing	wakebr1	medical_history	boolean	
fever1	pht001116.v10, pht001111.v4	Fever, past two weeks	fever1	medical_history	boolean	
coldflu1	pht001116.v10, pht001111.v4	Cold or flu, past two weeks	coldflu1	medical_history	boolean	
urininf1	pht001116.v10, pht001111.v4	Urinary infection, past two weeks	urininf1	medical_history	boolean	
allrgy1	pht001116.v10, pht001111.v4	Seasonal allergy, past two weeks	allrgy1	medical_history	boolean	
bronch1	pht001116.v10, pht001111.v4	Bronchitis, past two weeks	bronch1	medical_history	boolean	
sinuinf1	pht001116.v10, pht001111.v4	Sinus infection, past two weeks	sinuinf1	medical_history	boolean	
pneumo1	pht001116.v10, pht001111.v4	Pneumonia, past two weeks	pneumo1	medical_history	boolean	
bldgums1	pht001116.v10, pht001111.v4	Bleeding gums, past two weeks	bldgums1	medical_history	boolean	
tthinf1	pht001116.v10, pht001111.v4	Tooth infection, past two weeks	tthinf1	medical_history	boolean	
gout1	pht001116.v10, pht001111.v4	Gout flare-up, past two weeks	gout1	medical_history	boolean	
arth2wk1	pht001116.v10, pht001111.v4	Arthritis flare-up, past two weeks	arth2wk1	medical_history	boolean	
abnum1	pht001116.v10, pht001111.v4	# of times treated w/ antibiotics, past year	abnum1	medical_history	number	
noab1	pht001116.v10, pht001111.v4	# of times treated w/ antibiotics (past year) unknown	noab1	medical_history	enum	# TIMES UNKNOWN
ab5ynum1	pht001116.v10, pht001111.v4	# of times treated w/ antibiotics, last five years	ab5ynum1	medical_history	number	
noab5y1	pht001116.v10, pht001111.v4	# of times treated w/ antibiotics (past 5 years) unknown	noab5y1	medical_history	enum	# TIMES UNKNOWN
aspirin1	pht001116.v10, pht001111.v4	Aspirin: ever used on regular basis	aspirin1	medication	boolean	
aspsage1	pht001116.v10, pht001111.v4	Aspirin: age started regular use	aspsage1	medication	number	
aspnow1	pht001116.v10, pht001111.v4	Aspirin: currently using regularly	aspnow1	medication	boolean	
aspdays1	pht001116.v10, pht001111.v4	Aspirin: days per week	aspdays1	medication	number	
aspeage1	pht001116.v10, pht001111.v4	Aspirin: age stopped using regularly	aspeage1	medication	number	
gumdis1	pht001116.v10, pht001111.v4	Periodontitis or gum disease	gumdis1	medical_history	boolean	
losttth1	pht001116.v10, pht001111.v4	Lost teeth due to gum disease	losttth1	medical_history	boolean	
tthnum1	pht001116.v10, pht001111.v4	# teeth lost due to gum disease	tthnum1	medical_history	number	
pmi1	pht001116.v10, pht001111.v4	Family history of heart attack: parent	pmi1	family_history	boolean	
pamput1	pht001116.v10, pht001111.v4	Family history amputation (not due to injury): parent	pamput1	family_history	boolean	
pstk1	pht001116.v10, pht001111.v4	Family history of stroke: parent	pstk1	family_history	boolean	
shrtatt1	pht001116.v10, pht001111.v4	Family history of heart attack: sibling	shrtatt1	family_history	boolean	
sstk1	pht001116.v10, pht001111.v4	Family history of stroke: sibling	sstk1	family_history	boolean	
samput1	pht001116.v10, pht001111.v4	Family history amputation (not due to injury): sibling	samput1	family_history	boolean	
chrtatt1	pht001116.v10, pht001111.v4	Family history of heart attack: children	chrtatt1	family_history	boolean	
cstk1	pht001116.v10, pht001111.v4	Family history of stroke: children	cstk1	family_history	boolean	
